portfolio_code,portfolio_name,portfolio_base_currency,portfolio_description,fund_code,fund_name,fund_vintage_year,fund_base_currency,holding_external_id,company_code,ownership_percent,invested_amount_base,nav_value_base,currency,effective_from,effective_to,status
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C001,C001,62.5,8500000,11200000,AUD,2022-07-01,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C002,C002,48,7200000,9300000,AUD,2022-08-15,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C003,C003,35,6400000,7100000,AUD,2022-10-03,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C004,C004,28.5,9000000,13800000,AUD,2022-11-18,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C005,C005,41,7800000,8600000,AUD,2023-01-12,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C006,C006,22,5600000,6100000,AUD,2023-02-20,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C007,C007,55,8100000,10500000,AUD,2023-04-01,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C008,C008,44.5,6700000,7400000,AUD,2023-05-16,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C009,C009,38,7300000,9200000,AUD,2023-07-10,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-I,GreenLedger Demonstration Fund I,2022,AUD,DEMO-I-C010,C010,31.5,8800000,9700000,AUD,2023-09-04,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C011,C011,52,7600000,10100000,AUD,2024-01-15,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C012,C012,26,8200000,8900000,AUD,2024-02-01,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C013,C013,47.5,6900000,7800000,AUD,2024-03-18,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C014,C014,36,7100000,8400000,AUD,2024-04-22,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C015,C015,58,7900000,9600000,AUD,2024-05-30,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C016,C016,33,6500000,7200000,AUD,2024-07-08,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C017,C017,24.5,9400000,10800000,AUD,2024-08-19,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C018,C018,49,7000000,7900000,AUD,2024-09-23,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C019,C019,29,8300000,9500000,AUD,2024-10-14,,active
DEMO-PORTFOLIO-2026,GreenLedger Demonstration Portfolio,AUD,Synthetic and editable portfolio data for product demonstrations,DEMO-FUND-II,GreenLedger Demonstration Fund II,2024,AUD,DEMO-II-C020,C020,43,7500000,8700000,AUD,2024-11-25,,active
