company_id,reporting_year,review_status,reviewer_role,review_comment
C001,2024,approved,ESG Analyst,"Strong submission with all fields measured. YoY emission reductions confirmed. Approved."
C001,2023,approved,ESG Analyst,"Good first full ESG submission. Minor estimates noted but acceptable for baseline year."
C002,2024,approved,ESG Director,"Exemplary submission. All figures measured, strong diversity metrics, emissions declining. Approved."
C002,2023,approved,ESG Analyst,"Solid baseline submission. High confidence data throughout."
C003,2024,pending review,ESG Analyst,"Scope 3 estimated pending supplier data. Review scope 2 market-based methodology. Awaiting supporting documents."
C003,2023,approved,ESG Director,"Fatality noted and corrective action plan reviewed and accepted. Approved with mandatory follow-up in 2024."
C004,2024,approved,ESG Director,"Leading ESG performer in portfolio. Renewable energy company setting benchmark. Approved."
C004,2023,approved,ESG Analyst,"Excellent baseline. Renewable energy focus evident across all metrics."
C005,2024,resubmission requested,ESG Analyst,"Air quality controls absent for second year. esg_kpis_linked_to_remuneration = No with no remediation plan. Please provide action plan and resubmit."
C005,2023,approved,ESG Analyst,"Approved with note: air quality controls must be addressed in 2024 submission."
C006,2024,pending review,ESG Analyst,"Submission complete for financial services company. Scope 3 estimated - request breakdown by category."
C006,2023,approved,ESG Analyst,"Clean submission for debt asset class company. Low environmental footprint as expected."
C007,2024,approved,ESG Director,"Good improvement across all ESG pillars. Female leadership up to 50%. Approved."
C007,2023,approved,ESG Analyst,"Solid healthcare submission. Community investment strong."
C008,2024,resubmission requested,ESG Director,"Formula mismatch in GHG totals. All confidence levels Estimated. Cyber incidents rising. Must resubmit with measured data and GHG reconciliation."
C008,2023,approved,ESG Analyst,"Corruption case noted. Legal confirmation of resolution required before final sign-off."
C009,2024,approved,ESG Analyst,"Good emission reductions. Methane capture program verified against third-party report. Approved."
C009,2023,approved,ESG Analyst,"Agriculture sector challenges acknowledged. Good scope 3 disclosure for sector."
C010,2024,pending review,ESG Director,"Submission not started. Two prior-year fatalities unresolved at review. Escalated to investment committee. Mandatory engagement required."
C010,2023,resubmission requested,ESG Director,"Two fatalities in period. Board-level ESG oversight = No is unacceptable. Resubmission required with corrective action evidence."
C011,2024,approved,ESG Analyst,"Tech company with strong measured data. Emissions down, diversity improving. Approved."
C011,2023,approved,ESG Analyst,"Good submission. Cyber incident noted and resolution confirmed."
C012,2024,approved,ESG Director,"REIT with strong NABERS improvement trajectory. Governance metrics excellent. Approved."
C012,2023,approved,ESG Analyst,"Clean real estate submission. Good green leasing progress."
C013,2024,pending review,ESG Analyst,"Scope 2 and 3 estimated. Water recycled query raised (subsequently cleared). Cybersecurity policy now in place - good progress."
C013,2023,approved,ESG Analyst,"Approved with note: cybersecurity and ESG linked remuneration gaps to be addressed."
C014,2024,approved,ESG Director,"Education sector leader. Strong gender diversity trajectory. All figures measured. Approved."
C014,2023,approved,ESG Analyst,"Good submission with improving diversity metrics."
C015,2024,resubmission requested,ESG Director,"waste_diverted_from_landfill exceeds total_waste_generated. Must reconcile waste data before approval. Provide waste audit evidence."
C015,2023,approved,ESG Analyst,"Waste management company with good operational ESG. High TRIFR for sector - flag for 2024."
C016,2024,approved,ESG Analyst,"Aged care company with good social metrics. Scope 3 estimated acceptable. Approved."
C016,2023,approved,ESG Analyst,"Good baseline for aged care real estate asset."
C017,2024,approved,ESG Director,"Mining company showing improvement. Board ESG oversight now established - major positive. Approved with recommendation to accelerate scope 1 reduction."
C017,2023,resubmission requested,ESG Director,"Board ESG oversight = No unacceptable for mining asset. Resubmission required with governance improvement plan."
C018,2024,pending review,ESG Analyst,"All figures estimated. Data system migration noted but not sufficient justification for full cycle. Request partial measured data for energy and employees at minimum."
C018,2023,approved,ESG Analyst,"Acceptable submission for F&B company. Scope 3 methodology to be formalised."
C019,2024,approved,ESG Analyst,"Good telecom submission. Energy efficiency improving with network virtualisation. Approved."
C019,2023,approved,ESG Analyst,"Solid baseline. Cyber incidents noted and investigated."
C020,2024,pending review,ESG Director,"Fatality in 2024 requires mandatory board-level safety review evidence before approval can proceed. Submission quality otherwise good."
C020,2023,resubmission requested,ESG Director,"Two fatalities require comprehensive safety review evidence. Aviation sector safety performance below acceptable threshold."
